year,cc_rating,number
2005,1000cc and below,9514
2005,1001-1600cc,258373
2005,1601-2000cc,105201
2005,2001-3000cc,58257
2005,3001cc and above,6849
2006,1000cc and below,7109
2006,1001-1600cc,277522
2006,1601-2000cc,114206
2006,2001-3000cc,65332
2006,3001cc and above,8139
2007,1000cc and below,7544
2007,1001-1600cc,297394
2007,1601-2000cc,125730
2007,2001-3000cc,74202
2007,3001cc and above,9815
2008,1000cc and below,7777
2008,1001-1600cc,312367
2008,1601-2000cc,138125
2008,2001-3000cc,80415
2008,3001cc and above,11771
2009,1000cc and below,7650
2009,1001-1600cc,325418
2009,1601-2000cc,146836
2009,2001-3000cc,83774
2009,3001cc and above,13310
2010,1000cc and below,7367
2010,1001-1600cc,331246
2010,1601-2000cc,153471
2010,2001-3000cc,87986
2010,3001cc and above,15115
2011,1000cc and below,6622
2011,1001-1600cc,329957
2011,1601-2000cc,157846
2011,2001-3000cc,92432
2011,3001cc and above,16866
2012,1000cc and below,6490
2012,1001-1600cc,335409
2012,1601-2000cc,162217
2012,2001-3000cc,94712
2012,3001cc and above,18742
2013,1000cc and below,6364
2013,1001-1600cc,335419
2013,1601-2000cc,164768
2013,2001-3000cc,95295
2013,3001cc and above,19499
2014,1000cc and below,6189
2014,1001-1600cc,331104
2014,1601-2000cc,164424
2014,2001-3000cc,95251
2014,3001cc and above,19641
2015,1000cc and below,5799
2015,1001-1600cc,321082
2015,1601-2000cc,162791
2015,2001-3000cc,93358
2015,3001cc and above,19281
2016,1000cc and below,4821
2016,1001-1600cc,325700
2016,1601-2000cc,165042
2016,2001-3000cc,87832
2016,3001cc and above,17862
2017,1000cc and below,5388
2017,1001-1600cc,337682
2017,1601-2000cc,171499
2017,2001-3000cc,81527
2017,3001cc and above,16160
