year,make,fuel_type,number
2005,ALFA ROMEO,Unknown,914.0
2005,ASTON MARTIN,Unknown,23.0
2005,AUDI,Unknown,2025.0
2005,AUSTIN,Unknown,137.0
2005,B.M.W.,Unknown,15351.0
2005,BENTLEY,Unknown,68.0
2005,CADILLAC,Unknown,7.0
2005,CHEVROLET,Unknown,3699.0
2005,CHRYSLER,Unknown,422.0
2005,CITROEN,Unknown,696.0
2005,DAEWOO,Unknown,817.0
2005,DAIHATSU,Unknown,2065.0
2005,DAIMLER,Unknown,30.0
2005,DATSUN,Unknown,129.0
2005,FERRARI,Unknown,166.0
2005,FIAT,Unknown,382.0
2005,FORD,Unknown,7243.0
2005,HOLDEN,Unknown,6.0
2005,HONDA,Unknown,47816.0
2005,HYUNDAI,Unknown,41650.0
2005,ISUZU,Unknown,20.0
2005,JAGUAR,Unknown,1952.0
2005,JEEP,Unknown,41.0
2005,KIA,Unknown,12079.0
2005,LAMBORGHINI,Unknown,53.0
2005,LANCIA,Unknown,6.0
2005,LAND ROVER,Unknown,280.0
2005,LOTUS,Unknown,64.0
2005,M.G.,Unknown,108.0
2005,MASERATI,Unknown,78.0
2005,MAZDA,Unknown,19998.0
2005,MERCEDES BENZ,Unknown,27230.0
2005,MG-F,Unknown,9.0
2005,MINI,Unknown,547.0
2005,MINI MAYFAIR,Unknown,5.0
2005,MITSUBISHI,Unknown,29416.0
2005,MORGAN,Unknown,6.0
2005,MORRIS,Unknown,93.0
2005,NISSAN,Unknown,65368.0
2005,OPEL,Unknown,2319.0
2005,OTHERS 2,Unknown,50.0
2005,PANTHER,Unknown,7.0
2005,PERODUA,Unknown,1060.0
2005,PEUGEOT,Unknown,2033.0
2005,PORSCHE,Unknown,763.0
2005,PROTON,Unknown,4612.0
2005,RENAULT,Unknown,3430.0
2005,ROLLS ROYCE,Unknown,104.0
2005,ROVER,Unknown,416.0
2005,SAAB,Unknown,1597.0
2005,SEAT,Unknown,233.0
2005,SKODA,Unknown,425.0
2005,SSANGYONG,Unknown,93.0
2005,SUBARU,Unknown,6351.0
2005,SUNBEAM,Unknown,8.0
2005,SUZUKI,Unknown,7200.0
2005,TOYOTA,Unknown,120560.0
2005,TRIUMPH,Unknown,34.0
2005,VOLKSWAGEN,Unknown,2923.0
2005,VOLVO,Unknown,5366.0
2006,ALFA ROMEO,Unknown,866.0
2006,ASTON MARTIN,Unknown,34.0
2006,AUDI,Unknown,2386.0
2006,AUSTIN,Unknown,155.0
2006,B.M.W.,Unknown,16527.0
2006,BENTLEY,Unknown,103.0
2006,CADILLAC,Unknown,5.0
2006,CHERY,Unknown,269.0
2006,CHEVROLET,Unknown,6251.0
2006,CHRYSLER,Unknown,576.0
2006,CITROEN,Unknown,514.0
2006,DAEWOO,Unknown,487.0
2006,DAIHATSU,Unknown,1769.0
2006,DAIMLER,Unknown,24.0
2006,DATSUN,Unknown,21.0
2006,DODGE,Unknown,6.0
2006,FERRARI,Unknown,178.0
2006,FIAT,Unknown,770.0
2006,FORD,Unknown,6036.0
2006,GEELY,Unknown,19.0
2006,HOLDEN,Unknown,5.0
2006,HONDA,Unknown,53792.0
2006,HYUNDAI,Unknown,45393.0
2006,ISUZU,Unknown,19.0
2006,JAGUAR,Unknown,1862.0
2006,JEEP,Unknown,63.0
2006,KIA,Unknown,15558.0
2006,LAMBORGHINI,Unknown,80.0
2006,LANCIA,Unknown,6.0
2006,LAND ROVER,Unknown,257.0
2006,LOTUS,Unknown,70.0
2006,M.G.,Unknown,130.0
2006,MASERATI,Unknown,105.0
2006,MAZDA,Unknown,21161.0
2006,MERCEDES BENZ,Unknown,25150.0
2006,MG-F,Unknown,9.0
2006,MINI,Unknown,744.0
2006,MINI MAYFAIR,Unknown,5.0
2006,MITSUBISHI,Unknown,31264.0
2006,MORGAN,Unknown,6.0
2006,MORRIS,Unknown,99.0
2006,NISSAN,Unknown,64904.0
2006,OPEL,Unknown,2142.0
2006,OTHERS 2,Unknown,64.0
2006,PANTHER,Unknown,7.0
2006,PERODUA,Unknown,1446.0
2006,PEUGEOT,Unknown,2202.0
2006,PORSCHE,Unknown,912.0
2006,PROTON,Unknown,4630.0
2006,RENAULT,Unknown,3139.0
2006,ROLLS ROYCE,Unknown,116.0
2006,ROVER,Unknown,212.0
2006,SAAB,Unknown,1588.0
2006,SEAT,Unknown,113.0
2006,SKODA,Unknown,372.0
2006,SSANGYONG,Unknown,133.0
2006,SUBARU,Unknown,7600.0
2006,SUNBEAM,Unknown,8.0
2006,SUZUKI,Unknown,8201.0
2006,TD CARS,Unknown,5.0
2006,TOYOTA,Unknown,135799.0
2006,TRIUMPH,Unknown,34.0
2006,VOLKSWAGEN,Unknown,2900.0
2006,VOLVO,Unknown,5416.0
2007,ALFA ROMEO,Unknown,900.0
2007,ASTON MARTIN,Unknown,54.0
2007,AUDI,Unknown,3115.0
2007,AUSTIN,Unknown,155.0
2007,B.M.W.,Unknown,18321.0
2007,BENTLEY,Unknown,138.0
2007,CADILLAC,Unknown,5.0
2007,CHERY,Unknown,906.0
2007,CHEVROLET,Unknown,8161.0
2007,CHRYSLER,Unknown,670.0
2007,CITROEN,Unknown,615.0
2007,DAEWOO,Unknown,286.0
2007,DAIHATSU,Unknown,2044.0
2007,DAIMLER,Unknown,22.0
2007,DATSUN,Unknown,17.0
2007,DODGE,Unknown,39.0
2007,DONGFENG,Unknown,33.0
2007,FERRARI,Unknown,221.0
2007,FIAT,Unknown,1404.0
2007,FORD,Unknown,4878.0
2007,GEELY,Unknown,523.0
2007,HAFEI,Unknown,168.0
2007,HOLDEN,Unknown,7.0
2007,HONDA,Unknown,67830.0
2007,HYUNDAI,Unknown,44798.0
2007,ISUZU,Unknown,18.0
2007,JAGUAR,Unknown,1826.0
2007,JEEP,Unknown,86.0
2007,KIA,Unknown,16591.0
2007,LAMBORGHINI,Unknown,110.0
2007,LANCIA,Unknown,6.0
2007,LAND ROVER,Unknown,249.0
2007,LOTUS,Unknown,75.0
2007,M.G.,Unknown,127.0
2007,MASERATI,Unknown,143.0
2007,MAZDA,Unknown,22495.0
2007,MERCEDES BENZ,Unknown,24999.0
2007,MG-F,Unknown,9.0
2007,MINI,Unknown,984.0
2007,MINI MAYFAIR,Unknown,5.0
2007,MITSUBISHI,Unknown,34542.0
2007,MITSUOKA,Unknown,26.0
2007,MORGAN,Unknown,6.0
2007,MORRIS,Unknown,99.0
2007,NISSAN,Unknown,64507.0
2007,OPEL,Unknown,2082.0
2007,OTHERS 2,Unknown,62.0
2007,PANTHER,Unknown,7.0
2007,PERODUA,Unknown,1905.0
2007,PEUGEOT,Unknown,2387.0
2007,PORSCHE,Unknown,1242.0
2007,PROTON,Unknown,4642.0
2007,RENAULT,Unknown,3019.0
2007,ROLLS ROYCE,Unknown,116.0
2007,ROVER,Unknown,122.0
2007,SAAB,Unknown,1574.0
2007,SEAT,Unknown,62.0
2007,SKODA,Unknown,323.0
2007,SSANGYONG,Unknown,196.0
2007,SUBARU,Unknown,9949.0
2007,SUNBEAM,Unknown,8.0
2007,SUZUKI,Unknown,11263.0
2007,TD CARS,Unknown,5.0
2007,TOYOTA,Unknown,146597.0
2007,TRIUMPH,Unknown,33.0
2007,VOLKSWAGEN,Unknown,3475.0
2007,VOLVO,Unknown,5759.0
2008,ALFA ROMEO,Unknown,858.0
2008,ASTON MARTIN,Unknown,77.0
2008,AUDI,Unknown,4223.0
2008,AUSTIN,Unknown,154.0
2008,B.M.W.,Unknown,20434.0
2008,BENTLEY,Unknown,179.0
2008,CHANA,Unknown,39.0
2008,CHERY,Unknown,1466.0
2008,CHEVROLET,Unknown,8951.0
2008,CHRYSLER,Unknown,698.0
2008,CITROEN,Unknown,730.0
2008,DAEWOO,Unknown,175.0
2008,DAIHATSU,Unknown,2538.0
2008,DAIMLER,Unknown,22.0
2008,DATSUN,Unknown,16.0
2008,DODGE,Unknown,46.0
2008,DONGFENG,Unknown,64.0
2008,FERRARI,Unknown,264.0
2008,FIAT,Unknown,1775.0
2008,FORD,Unknown,4045.0
2008,GEELY,Unknown,697.0
2008,GOLDEN DRAGON,Unknown,5.0
2008,HAFEI,Unknown,297.0
2008,HOLDEN,Unknown,7.0
2008,HONDA,Unknown,85768.0
2008,HYUNDAI,Unknown,41708.0
2008,ISUZU,Unknown,17.0
2008,JAGUAR,Unknown,1851.0
2008,JEEP,Unknown,108.0
2008,KIA,Unknown,16927.0
2008,LAMBORGHINI,Unknown,156.0
2008,LAND ROVER,Unknown,259.0
2008,LOTUS,Unknown,94.0
2008,M.G.,Unknown,125.0
2008,MASERATI,Unknown,227.0
2008,MAZDA,Unknown,22647.0
2008,MERCEDES BENZ,Unknown,25896.0
2008,MG-F,Unknown,9.0
2008,MINI,Unknown,1227.0
2008,MINI MAYFAIR,Unknown,5.0
2008,MITSUBISHI,Unknown,36805.0
2008,MITSUOKA,Unknown,31.0
2008,MORGAN,Unknown,7.0
2008,MORRIS,Unknown,100.0
2008,NAZA,Unknown,27.0
2008,NISSAN,Unknown,61701.0
2008,OPEL,Unknown,1965.0
2008,OTHERS 2,Unknown,73.0
2008,PANTHER,Unknown,7.0
2008,PERODUA,Unknown,2193.0
2008,PEUGEOT,Unknown,2476.0
2008,PORSCHE,Unknown,1554.0
2008,PROTON,Unknown,4486.0
2008,RENAULT,Unknown,2798.0
2008,ROLLS ROYCE,Unknown,127.0
2008,ROVER,Unknown,75.0
2008,SAAB,Unknown,1499.0
2008,SEAT,Unknown,44.0
2008,SKODA,Unknown,273.0
2008,SSANGYONG,Unknown,308.0
2008,SUBARU,Unknown,12446.0
2008,SUNBEAM,Unknown,8.0
2008,SUZUKI,Unknown,13641.0
2008,TD CARS,Unknown,5.0
2008,TOYOTA,Unknown,154948.0
2008,TRIUMPH,Unknown,33.0
2008,VOLKSWAGEN,Unknown,4474.0
2008,VOLVO,Unknown,5899.0
2008,WULING,Unknown,53.0
2008,ZOTYE,Unknown,6.0
2009,ALFA ROMEO,Unknown,886.0
2009,ASTON MARTIN,Unknown,100.0
2009,AUDI,Unknown,5590.0
2009,AUSTIN,Unknown,154.0
2009,B.M.W.,Unknown,22871.0
2009,BENTLEY,Unknown,219.0
2009,CHANA,Unknown,66.0
2009,CHERY,Unknown,1687.0
2009,CHEVROLET,Unknown,9973.0
2009,CHRYSLER,Unknown,696.0
2009,CITROEN,Unknown,948.0
2009,DAEWOO,Unknown,115.0
2009,DAIHATSU,Unknown,2577.0
2009,DAIMLER,Unknown,21.0
2009,DATSUN,Unknown,13.0
2009,DODGE,Unknown,45.0
2009,DONGFENG,Unknown,97.0
2009,FERRARI,Unknown,294.0
2009,FIAT,Unknown,2032.0
2009,FORD,Unknown,3788.0
2009,GEELY,Unknown,763.0
2009,GOLDEN DRAGON,Unknown,6.0
2009,HAFEI,Unknown,326.0
2009,HOLDEN,Unknown,7.0
2009,HONDA,Unknown,90861.0
2009,HUMMER,Unknown,17.0
2009,HYUNDAI,Unknown,43907.0
2009,ISUZU,Unknown,14.0
2009,JAGUAR,Unknown,1888.0
2009,JEEP,Unknown,117.0
2009,KIA,Unknown,19899.0
2009,LAMBORGHINI,Unknown,201.0
